pipeline,process,source_name,source_type,output_path,rows,columns,file_size_bytes,execution_time_seconds
ETL,extract_taxi,taxi_trip,file_csv,outputs/etl/raw_taxi.csv,104839,11,14147831,3.4376
ETL,extract_weather,weather,api_csv,outputs/etl/raw_weather.csv,744,24,147817,3.4376
